iter	Passed	Remaining
625	2227	1331
626	2230	1327
627	2233	1323
628	2236	1319
629	2239	1315
630	2242	1311
631	2245	1307
632	2248	1303
633	2251	1299
634	2254	1295
635	2257	1292
636	2260	1288
637	2263	1284
638	2266	1280
639	2269	1276
640	2272	1272
641	2275	1268
642	2278	1264
643	2281	1260
644	2284	1257
645	2287	1253
646	2290	1249
647	2292	1245
648	2295	1241
649	2298	1237
650	2301	1234
651	2304	1230
652	2307	1226
653	2310	1222
654	2313	1218
655	2316	1214
656	2318	1210
657	2321	1206
658	2324	1202
659	2327	1199
660	2330	1195
661	2333	1191
662	2336	1187
663	2339	1183
664	2342	1180
665	2345	1176
666	2348	1172
667	2351	1168
668	2354	1164
669	2357	1161
670	2360	1157
671	2363	1153
672	2366	1149
673	2369	1146
674	2373	1142
675	2376	1138
676	2379	1135
677	2382	1131
678	2385	1127
679	2388	1123
680	2391	1120
681	2394	1116
682	2397	1112
683	2400	1109
684	2403	1105
685	2406	1101
686	2410	1098
687	2412	1094
688	2415	1090
689	2418	1086
690	2421	1082
691	2424	1079
692	2427	1075
693	2429	1071
694	2432	1067
695	2435	1063
696	2438	1059
697	2441	1056
698	2443	1052
699	2446	1048
700	2450	1045
701	2452	1041
702	2455	1037
703	2458	1033
704	2461	1029
705	2464	1026
706	2467	1022
707	2471	1019
708	2474	1015
709	2477	1012
710	2480	1008
711	2483	1004
712	2486	1001
713	2489	997
714	2492	993
715	2496	990
716	2499	986
717	2501	982
718	2504	978
719	2507	975
720	2511	971
721	2515	968
722	2519	965
723	2523	962
724	2528	958
725	2532	955
726	2536	952
727	2539	948
728	2542	945
729	2545	941
730	2548	937
731	2551	934
732	2554	930
733	2557	926
734	2560	923
735	2563	919
736	2566	915
737	2569	912
738	2572	908
739	2575	905
740	2578	901
741	2581	897
742	2584	893
743	2587	890
744	2590	886
745	2593	883
746	2596	879
747	2599	875
748	2602	872
749	2605	868
750	2608	864
751	2611	861
752	2614	857
753	2617	853
754	2620	850
755	2623	846
756	2626	843
757	2629	839
758	2632	835
759	2635	832
760	2639	829
761	2642	825
762	2645	821
763	2649	818
764	2652	814
765	2655	811
766	2658	807
767	2661	803
768	2664	800
769	2667	796
770	2670	793
771	2673	789
772	2676	785
773	2679	782
774	2682	778
775	2684	775
776	2687	771
777	2690	767
778	2693	764
779	2696	760
780	2699	757
781	2702	753
782	2705	749
783	2709	746
784	2711	742
785	2714	739
786	2717	735
787	2720	731
788	2723	728
789	2726	724
790	2729	721
791	2732	717
792	2735	714
793	2739	710
794	2742	707
795	2745	703
796	2747	699
797	2750	696
798	2754	692
799	2757	689
800	2759	685
801	2762	682
802	2765	678
803	2769	675
804	2772	671
805	2775	667
806	2778	664
807	2781	660
808	2784	657
809	2787	653
810	2790	650
811	2793	646
812	2796	643
813	2799	639
814	2802	636
815	2805	632
816	2808	628
817	2810	625
818	2814	621
